username,Method,CLD,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,description,github_url,report_url,subchallenge
vladvin,competition-prediction-o9F72HDuybJSoN3gBFi2U,i,0.454 ± 0.024,0.315 ± 0.013,0.215 ± 0.017,0.657 ± 0.038,0.343 ± 0.072,0.611 ± 0.030,"A pure single fine-tuned LLM solution, no ensembling",https://github.com/Alicegaz/AgenticADMET,https://docs.google.com/document/d/16y9EtElTmJ-p0bAYjJaNgkU8WP-CYz77lhHB2oxkTc4/edit?usp=sharing,ADMET
qb2025,competition-prediction-wVsbdymtEj2iKNLcfa9Cd,i,0.455 ± 0.023,0.316 ± 0.010,0.172 ± 0.011,0.673 ± 0.029,0.432 ± 0.041,0.608 ± 0.029,,,https://docs.google.com/document/d/118YhHzl7rEyoAwYSdiRxWzS_7RmweZbDyDFNHzlSTzo/edit?usp=drive_link,ADMET
xubf,competition-prediction-TBsd4iv0TjLURmde8dpxy,i,0.423 ± 0.022,0.317 ± 0.012,0.195 ± 0.014,0.682 ± 0.029,0.437 ± 0.040,0.586 ± 0.028,GNN+MMoE model using molecular fingerprints.,,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk,ADMET
dzqh,competition-prediction-Ekm3jhN497N5U3dupysp6,j,0.474 ± 0.021,0.320 ± 0.011,0.182 ± 0.011,0.688 ± 0.031,0.393 ± 0.051,0.641 ± 0.026,,,https://drive.google.com/file/d/11JPTjWpcehLFpgmo9jpcJXyurLSvpTqm/view?usp=sharing,ADMET
jharrison,competition-prediction-phAZvCj3WPF5U4b2bV6ye,k,0.448 ± 0.021,0.323 ± 0.011,0.187 ± 0.012,0.670 ± 0.030,0.383 ± 0.053,0.605 ± 0.028,RXRX OSHub submission,https://github.com/exscientia/molflux,https://gist.github.com/shug3502/f0fe74f443d1d82fa73bf869148c7cdc,ADMET
haleemiliyash,competition-prediction-uimrmltJ0uwnKiYFSY51r,l,0.423 ± 0.023,0.329 ± 0.011,0.196 ± 0.013,0.647 ± 0.035,0.395 ± 0.043,0.577 ± 0.029,prediction data of test dataset(antiviral-admet-2025),https://github.com/haleemiliyash/ASAP-polaris-blind-challenge-Ligand-ADMET-property-prediction-.git,https://docs.google.com/document/d/1fAZjJBSr3RDBXpZQNv_tcGKWohCIrPdUZYNf1ku1bYo/edit?usp=sharing,ADMET
alx-dga,competition-prediction-7GRKQYZ1DL3TPvjHYhERs,l,0.412 ± 0.023,0.329 ± 0.011,0.203 ± 0.013,0.658 ± 0.027,0.380 ± 0.040,0.552 ± 0.030,final submission,https://github.com/alexisdougha/polaris-submission,https://drive.google.com/file/d/1jUPsolAyrgZ-mIxi5AAMYKBigjniNVCf/view?usp=sharing,ADMET
austint,competition-prediction-LaEg2QtWYFvvpEvoTQfVu,m,0.432 ± 0.024,0.334 ± 0.012,0.206 ± 0.015,0.670 ± 0.030,0.411 ± 0.049,0.585 ± 0.030,Tanimoto Kernel GP,https://github.com/AustinT/asap-2025-challenge-gp,https://github.com/AustinT/asap-2025-challenge-gp,ADMET
adavi,competition-prediction-by4a9QHFNgZWuCfqUgzLH,m,0.447 ± 0.025,0.335 ± 0.012,0.195 ± 0.013,0.685 ± 0.034,0.395 ± 0.051,0.602 ± 0.031,Just testing the Polaris API here!,,https://storage.polarishub.io/2025-01-asap-discovery/reports/adavi.pdf,ADMET
steffen-wedig,competition-prediction-qh2MvdTKb2KrG6224vPsy,n,0.405 ± 0.025,0.347 ± 0.013,0.232 ± 0.017,0.610 ± 0.036,0.326 ± 0.046,0.557 ± 0.032,,,https://drive.google.com/file/d/1ZkPnvkzNaEYe45fLpGZyNUvU9rnM_oDq/view?usp=sharing,ADMET
jacksonburns,competition-prediction-QS5ie0Aita8XSGpxE0ZEz,o,0.378 ± 0.024,0.350 ± 0.014,0.255 ± 0.020,0.622 ± 0.033,0.270 ± 0.049,0.528 ± 0.032,Neural Pairwise Regression with ChemProp + Mordred,https://github.com/JacksonBurns/neural-pairwise-regression/blob/main/notebooks/polaris_asap.ipynb,https://github.com/JacksonBurns/neural-pairwise-regression/blob/main/meta,ADMET
dodo,competition-prediction-eEd5qyePoHKWj7SqWB2pf,o,0.424 ± 0.025,0.352 ± 0.012,0.221 ± 0.014,0.649 ± 0.033,0.372 ± 0.043,0.578 ± 0.031,ADMET predictions using ensemble of ML models with scaffold-based CV,https://github.com/fulopjoz/polaris-antiviral-submission/blob/master/admet-submission/admet_pipeline_b.ipynb,https://tinyurl.com/dodo-admet,ADMET
balamuruganthirukonda,competition-prediction-bW4KQ3HLK0ZS1RZybs8iZ,p,0.390 ± 0.023,0.359 ± 0.013,0.275 ± 0.021,0.638 ± 0.031,0.322 ± 0.046,0.540 ± 0.031,Just testing the Polaris API here!,https://github.com/BalamuruganThirukonda/Polaris_competition.git,https://docs.google.com/document/d/1lfroAm0TW4mxhHkZjAngHVioe5vrmQMp2C6TzWinu_g/edit?usp=sharing,ADMET
wvirany,competition-prediction-vKipjaVtYETyjz5by9vhU,q,0.363 ± 0.025,0.369 ± 0.013,0.261 ± 0.017,0.562 ± 0.033,0.242 ± 0.040,0.493 ± 0.034,Here I increased the maximum number of iterations in MLL optimization to 100k,https://github.com/wvirany,https://github.com/wvirany/BayesOpt,ADMET
azminewasi,competition-prediction-c3kSlwnqv552HB3emD1PH,r,0.316 ± 0.026,0.396 ± 0.013,0.278 ± 0.019,0.503 ± 0.037,0.238 ± 0.033,0.432 ± 0.035,"Ensemble approch combining fingerprints and Chemical Langauge Models for model training with Gradient Boosting. Then, simple weighted ensemble.",https://github.com/azminewasi/polaris-antiviral-competition,https://github.com/azminewasi/polaris-antiviral-competition/blob/main/antiviral-admet-2025/report/report.pdf,ADMET
wolberlab,competition-prediction-iP786mMvA0oHixPQhfvk0,s,0.307 ± 0.025,0.416 ± 0.013,0.308 ± 0.020,0.485 ± 0.033,0.178 ± 0.052,0.431 ± 0.035,Preliminary predictions for admet predictions with adjusted values for MDR,https://github.com/talagayev/polaris_antiviral_challenge,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md,ADMET
agitter,competition-prediction-17gXzNQxcTxxissTDCTcD,t,0.247 ± 0.027,0.418 ± 0.016,0.377 ± 0.029,0.426 ± 0.036,0.079 ± 0.054,0.342 ± 0.038,"The approach featurizes molecules using ECFP6 fingerprints of size 500, which is the maximum numberof features tested by TabPFN. The training data is fit with a TabPFNRegressor, which is a pretrainedtabular foundation model. It uses in-context learning to adapt to the ADMET dataset and makepredictions on the test set. This is an entirely black box approach that treats the ADMET data asan arbitrary tabular dataset. Further details are in writeup.md in the GitHub repository, which isarchived on Zenodo.",https://github.com/agitter/asap-polaris-admet-challenge,https://doi.org/10.5281/zenodo.14993394,ADMET
hmacdope,competition-prediction-oz40Rvqtsfm2cVvVdQNRG,u,0.359 ± 0.025,0.430 ± 0.011,0.279 ± 0.015,0.465 ± 0.034,0.141 ± 0.054,0.486 ± 0.032,ASAPDiscovery LogP linear baseline,,https://github.com/asapdiscovery/asap-polaris-challenge-baselines,ADMET
wtrd,competition-prediction-Jn4iQZjtRywYDeNmF85la,u,0.329 ± 0.027,0.430 ± 0.014,0.304 ± 0.017,0.541 ± 0.035,0.033 ± 0.076,0.459 ± 0.035,,https://github.com/duartegroup/asap-polaris-challenge,https://docs.google.com/document/d/1464wiMCWdncfWoMIpL4WHI31qOECqeBq0CEhwiAAfW4/edit?usp=sharing,ADMET
ashmita-bose,competition-prediction-ql3PX5bGw0STK7pjnNKxh,v,0.265 ± 0.026,0.444 ± 0.016,0.382 ± 0.027,0.484 ± 0.036,0.032 ± 0.071,0.365 ± 0.037,,,https://github.com/AshmitaBose/Polaris-ADMET-ASHMITA-BOSE.git,ADMET
wim0,competition-prediction-3snGxRMKjY2PBWmJoWpHP,v,0.177 ± 0.026,0.444 ± 0.014,0.352 ± 0.021,0.224 ± 0.035,0.104 ± 0.028,0.227 ± 0.038,Source code and report will be made public once challenge is finished,https://github.com/dehaenw/polaris-baseline,https://molecular.beauty/blog/2025/03/13/polaris.html,ADMET
ppxasjsm,competition-prediction-late-qt8XE61huX0BJ7ODg48bj,w,0.117 ± 0.030,0.504 ± 0.014,0.375 ± 0.017,0.199 ± 0.030,-0.200 ± 0.073,0.162 ± 0.039,Multitask deep ordinal regression model,https://github.com/meyresearch/polaris_challenge/,https://github.com/meyresearch/polaris_challenge/blob/main/admet/report.md,ADMET
yul533,competition-prediction-LpjDxthqjjxZK9fUXF7pZ,x,0.079 ± 0.029,0.513 ± 0.016,0.457 ± 0.025,0.112 ± 0.039,-0.212 ± 0.045,0.122 ± 0.042,,,https://github.com/yul533/polaris-antiviral-challenge/blob/main/admet%20prediction,ADMET
apalania,competition-prediction-late-uxHNIu9aFS7AUuf0E4FXI,y,0.387 ± 0.024,0.548 ± 0.019,0.572 ± 0.044,0.549 ± 0.033,-0.930 ± 0.221,0.528 ± 0.031,"Datasets from diverse sources (incl. ChEMBL, OChem, Deepchem, ADMET-AI, TDC, biogen and DrugBank) were used to prepare consolidated datasets for each ADMET endpoint of interest. A non-redundant feature space from the SMILES was prepared using mordred applied on an antivirals library. Consensus with Chemprop enabled us to identify 55 features. Both the raw SMILES as well as the feature spaces were used to train Graph NNs and Boosting models respectively. Post hyperparameter optimization via cross-validation and independent test set evaluation, the best model for each problem was identified. This model was rebuilt on the respective full dataset and applied on the Polaris-admet-2025 test set, for each of the problems.",,https://github.com/apalania/Polaris_ASAP-Challenge-2025/blob/main/Report.pdf,ADMET
hugo-oicr-quaccel,competition-prediction-G52r9BmREKCiw6P598Lic,z,0.393 ± 0.022,0.615 ± 0.015,0.559 ± 0.025,0.573 ± 0.027,-1.809 ± 0.802,0.544 ± 0.029,,,https://docs.google.com/document/d/1NzwitQ-LugGcRjqfumZrAQQi-Wy1kEVC4U1-Rmfty9k/edit?usp=sharing,ADMET
talagayev,competition-prediction-82M7l71QrplhHfU35b05e,A,0.130 ± 0.026,0.663 ± 0.014,0.820 ± 0.034,0.262 ± 0.041,-1.679 ± 0.127,0.180 ± 0.037,"First admet challenge submission test, would add report_url in the next and final submission",https://github.com/talagayev/polaris_antiviral_challenge,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md,ADMET
kushal,competition-prediction-qHtsXv3UyYdLY71ABZz7R,B,0.293 ± 0.029,1.106 ± 0.020,1.617 ± 0.046,0.502 ± 0.036,-8.681 ± 2.980,0.404 ± 0.038,First submission,,http://storage.polarishub.io/2025-01-asap-discovery/reports/kushal.docx,ADMET
cc25,competition-prediction-Jbhd1kx8mR7pfB4Z2xGUl,C,0.428 ± 0.023,1.277 ± 0.018,2.158 ± 0.052,0.676 ± 0.029,-12.299 ± 4.043,0.582 ± 0.030,,,https://docs.google.com/document/d/1wwmnhGN82uaxNyC3Mr5kj5fCGb_bQ7wT/edit?usp=sharing&ouid=112042337312439931657&rtpof=true&sd=true,ADMET
kriegegroup,competition-prediction-SL0yrsvshm8qTtEq2pNCY,D,0.296 ± 0.026,1.338 ± 0.020,2.298 ± 0.057,0.450 ± 0.034,-12.796 ± 4.170,0.413 ± 0.037,Final Submission,https://github.com/aehrlich1/polaris-challenge-2025,https://docs.google.com/document/d/1mth0dsjh6ir_qEQt-3CW7YsZHR1LK2jF6rsguKbd89M/edit?usp=sharing,ADMET
